CHROM,POS,src,TYPE,start,stop,ID,POSITION
1,2457,Weng et al 2019,SBS,2457,2457,1,2457
1,9107,Willing et al 2016,SBS,9107,9107,2,9107
1,33497,Willing et al 2016,SBS,33497,33497,3,33497
1,44994,Monroe et al 2022 (EU lines),INDEL,44994,44994,4,44994
1,56515,Monroe et al 2022 (EU lines),SBS,56515,56515,5,56515
1,57619,Belfield et al 2021,SBS,57619,57619,6,57619
1,60294,Willing et al 2016,SBS,60294,60294,7,60294
1,69089,Monroe et al 2022 (EU lines),INDEL,69089,69089,8,69089
1,69089,Monroe et al 2022 (EU lines),INDEL,69089,69089,9,69089
1,69089,Monroe et al 2022 (EU lines),INDEL,69089,69089,10,69089
1,74622,Willing et al 2016,SBS,74622,74622,11,74622
1,80310,Willing et al 2016,SBS,80310,80310,12,80310
1,89734,Weng et al 2019,SBS,89734,89734,13,89734
1,132230,Monroe et al 2022 (EU lines),INDEL,132230,132230,14,132230
1,151050,Weng et al 2019,INDEL,151050,151050,15,151050
1,193751,Zhu et al 2021,SBS,193751,193751,16,193751
1,193751,Zhu et al 2021,SBS,193751,193751,17,193751
1,193751,Zhu et al 2021,SBS,193751,193751,18,193751
1,223909,Willing et al 2016,SBS,223909,223909,19,223909
1,244406,Weng et al 2019,SBS,244406,244406,20,244406
1,269908,Monroe et al 2022 (EU lines),SBS,269908,269908,21,269908
1,296649,Weng et al 2019,SBS,296649,296649,22,296649
1,331335,Willing et al 2016,SBS,331335,331335,23,331335
1,332553,Monroe et al 2022 (EU lines),SBS,332553,332553,24,332553
1,378222,Weng et al 2019,INDEL,378222,378222,25,378222
1,412856,Monroe et al 2022 (EU lines),SBS,412856,412856,26,412856
1,419866,Willing et al 2016,SBS,419866,419866,27,419866
1,424282,Monroe et al 2022 (EU lines),SBS,424282,424282,28,424282
1,429169,Weng et al 2019,SBS,429169,429169,29,429169
1,433675,Weng et al 2019,SBS,433675,433675,30,433675
1,444721,Yang et al 2015,SBS,444721,444721,31,444721
1,479221,Willing et al 2016,SBS,479221,479221,32,479221
